ns1116954,1800,Inf,Inf,1800.0,Inf,Inf,1786.259109431,Inf,Inf,1786.259109431,Inf,Inf
ns1208400,460.0,-1,-1,459.0,-1.0,-1.0,415.0,-1.0,-1.0,413.0,-1.0,-1.0
neos-3988577-wolgan,1800,Inf,Inf,1800.0,Inf,Inf,1798.21963393,Inf,Inf,1798.21963393,Inf,Inf
ns1644855,1800,-1524.333333333333,-1420.3333333333333,1800.0,-1524.3333333333333,-1451.0,1800.0,-1524.3333333333335,-1420.3333333333333,1800.0,-1524.3333333333333,-1509.0
neos-4300652-rahue,1800,0.26505065063019867,2.8583999999999956,1800.0,0.26121666666666665,3.021,1800.0,0.18441527040966696,2.466,1800.0,0.18405,3.0360000000000027
ns1760995,1800,-1093.1451436231018,-429.35708967319994,1800.0,Inf,Inf,1800.0,-1032.0695545188494,-488.7252815569955,1794.441684239,Inf,Inf
ns1830653,138.0,-1,-1,138.0,-1.0,-1.0,105.0,-1.0,-1.0,106.0,-1.0,-1.0
nu25-pr12,4.0,-1,-1,9.0,-1.0,-1.0,8.0,-1.0,-1.0,7.0,-1.0,-1.0
neos-4387871-tavua,1800,28.291396095634852,33.79894,1800.0,28.286005191658006,33.79894,1800.0,27.599483394162387,34.38472999022909,1800.0,27.599483394162387,34.38472999022909
neos-4413714-turia,333.0,-1,-1,1800.0,Inf,Inf,1800.0,Inf,Inf,1800.0,Inf,Inf
nursesched-medium-hint03,1800,66.68671725359351,1490.0,1800.0,66.68671725359351,1490.0,1800.0,67.54338541322326,881.0,1800.0,67.54338541322326,881.0
nursesched-sprint02,40.0,-1,-1,41.0,-1.0,-1.0,38.0,-1.0,-1.0,37.0,-1.0,-1.0
nw04,28.0,-1,-1,29.0,-1.0,-1.0,35.0,-1.0,-1.0,35.0,-1.0,-1.0
neos-4532248-waihi,1800,Inf,Inf,1800.0,Inf,Inf,1775.211067529,Inf,Inf,1775.211067529,Inf,Inf
peg-solitaire-a3,1800,Inf,Inf,1800.0,Inf,Inf,1799.137060114,Inf,Inf,1799.137060114,Inf,Inf
neos-4647030-tutaki,1800,27265.192815482606,27271.256999999994,1800.0,27265.192850480034,27265.706000000057,1800.0,27265.192815482635,27271.256999999998,1800.0,27265.192815482606,27268.481500000056
rmatr200-p5,1800,3529.6197709163985,4568.0,1800.0,3529.6197709163985,4568.0,1800.0,3545.5713614597453,4567.0,1800.0,3545.5713614597453,4567.0
rocI-4-11,109.0,-1,-1,105.0,-1.0,-1.0,86.0,-1.0,-1.0,86.0,-1.0,-1.0
neos-4722843-widden,824.0,-1,-1,820.0,-1.0,-1.0,487.0,-1.0,-1.0,489.0,-1.0,-1.0
physiciansched3-3,1800,Inf,Inf,1800.0,Inf,Inf,1797.592101833,Inf,Inf,1797.592101833,Inf,Inf
physiciansched6-2,97.0,-1,-1,164.0,-1.0,-1.0,337.0,-1.0,-1.0,146.0,-1.0,-1.0
piperout-08,18.0,-1,-1,28.0,-1.0,-1.0,18.0,-1.0,-1.0,19.0,-1.0,-1.0
piperout-27,9.0,-1,-1,33.0,-1.0,-1.0,28.0,-1.0,-1.0,33.0,-1.0,-1.0
pk1,112.0,-1,-1,111.0,-1.0,-1.0,111.0,-1.0,-1.0,111.0,-1.0,-1.0
