Name(Seed 0),Org,,,Org-1,,,2prob,,,2prob-1,,
eil33-2,138.771586,-1,-1,137.729769,-1,-1,168.742811,-1,-1,166.156677,-1,-1
enlight_hard,0.010379,-1,-1,0.007665,-1,-1,0.006557,-1,-1,0.006912,-1,-1
ex10,198.505008,-1,-1,199.025691,-1,-1,203.961935,-1,-1,202.272419,-1,-1
ex9,27.350183,-1,-1,27.247117,-1,-1,23.499899,-1,-1,23.746113,-1,-1
neos-3216931-puriri,1800,61425.52993314653,131305.00000000003,1800,Inf,Inf,1800,63952.689437142035,151409.99999999988,1800,63952.689437142035,151409.99999999988
supportcase10,1800,1.5250839213502765,17,1800,1.5215518565058774,17,1800,1.4499772198083938,14,1800,1.3932859560585467,14
fastxgemm-n2r6s0t2,977.76477,-1,-1,972.260516,-1,-1,972.260516,-1,-1,972.260516,-1,-1
physiciansched3-3,1800,Inf,Inf,1800,Inf,Inf,1797.592102,Inf,Inf,1797.592102,Inf,Inf
physiciansched6-2,65.803899,-1,-1,315.426711,-1,-1,82.990771,-1,-1,66.139182,-1,-1
piperout-08,21.453098,-1,-1,79.598326,-1,-1,28.674385,-1,-1,54.376599,-1,-1
piperout-27,33.122832,-1,-1,72.035626,-1,-1,28.010958,-1,-1,67.806002,-1,-1
pk1,157.862799,-1,-1,158.072712,-1,-1,152.538819,-1,-1,152.041631,-1,-1
neos-3402294-bobin,1800,0.025626,0.06725,1800,0.025626,0.06725,1800,0.041858000000000284,0.0685,1800,0.041858000000000284,0.0685
supportcase18,1800,47.186666666666724,50,1800,47.186666666666724,50,1800,47.18666666666668,49,1800,47.18666666666668,49
fhnw-binpack4-4,1800,Inf,Inf,1800,Inf,Inf,1799.980378,Inf,Inf,1799.980378,Inf,Inf
proteindesign121hz512p9,1800,1435.6735419011213,1509,1800,Inf,Inf,1800,1438.1233427400994,1496,1794.820229,Inf,Inf
supportcase19,1800,Inf,Inf,1800,Inf,Inf,1800,Inf,Inf,1800,Inf,Inf
neos-3402454-bohle,1800,Inf,Inf,1800,Inf,Inf,1790.196369,Inf,Inf,1790.196369,Inf,Inf
fhnw-binpack4-48,1800,Inf,Inf,1800,Inf,Inf,1799.699484,Inf,Inf,1799.699484,Inf,Inf
proteindesign122trx11p8,1800,1730.898488751206,1767,1800,Inf,Inf,1800,1730.2751410102942,1782,1794.837463,Inf,Inf
supportcase22,1800,Inf,Inf,1800,Inf,Inf,1799.217627,Inf,Inf,1799.217627,Inf,Inf
qap10,56.267337,-1,-1,67.102879,-1,-1,95.491282,-1,-1,107.84689,-1,-1
fiball,1747.73982,-1,-1,1724.457303,-1,-1,177.139515,-1,-1,176.79529,-1,-1
supportcase33,303.547651,-1,-1,506.714952,-1,-1,611.069693,-1,-1,622.276985,-1,-1
neos-3555904-turama,1800,-40.95,-25.3,1800,-40.95,-34.7,1800,-40.95,-34.7,1787.465362,Inf,Inf
radiationm18-12-05,1800,17563.90909090909,19522,1800,17563.36103552616,17575,1800,17563.295500509295,17903,1800,17564.515151515152,17576
germanrr,1800,Inf,Inf,1800,Inf,Inf,1800,4.6809631053461164e7,4.8429948658199996e7,1800,4.6809631053461164e7,4.8429948658199996e7
supportcase6,1800,46833.13796999022,51922.032556733946,1800,46833.13796999022,51922.032556733946,1800,46752.921439237434,51906.47737025177,1800,46752.921439237434,51906.47737025177
neos-3627168-kasai,1800,987309.8065860023,988585.6199999992,1800,987309.7514270914,988585.6199999992,1800,987434.8152354565,988585.6199999993,1800,987448.3051615477,988585.6199999993
supportcase7,287.710054,-1,-1,290.602046,-1,-1,326.248691,-1,-1,326.939796,-1,-1
